animeTitle	Tanuki to Kitsune Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14771
animeDescription	"Two specials of Tanuki to Kitsune released only on the DVD of the main show. The disc will bundle with the manga's 4th tankoubon. 

(Source: ANN)"
animeRelated	['Tanuki to Kitsune', 'Tanuki to Kitsune: Dai 5-kan Hatsubai Kinen Animation']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
