animeTitle	Inda no Himekishi Janne
animeType	OVA
animeNumEpisode	2
releaseDate	2006-01-26 00:00:00
endDate	2007-04-27 00:00:00
animeNumMembers	
animeScore	6.31
animeUsers	2129
animeRank	
animePopularity	6299
animeDescription	There is a beautiful princess, Janne, in a beautiful country. She has a special ability in sword technique and magic. The country is peaceful but monsters called ogres start to attack them. Janne takes an initiative and battles the ogres but her younger sister Yuwa is taken by them. Janne goes to Dark Elf's fastness by herself but she is trapped and caught by them. Janne is given a sexual training there and her body and spirit gradually change...
animeRelated	['Inda no Himekishi Janne']
animeCharacters	['Janne', 'Celine']
animeVoices	['Kawaragi, Shiho']
animeStaff	[['Momoi, Sakura', 'Producer'], ['Tokita, Banzou', 'Director, Storyboard'], ['Takahashi, Kaoru', 'Script, Storyboard'], ['Mori, Kokan', 'Planning']]
