animeTitle	Goodbye, DonGlees!
animeType	Movie
animeNumEpisode	1
releaseDate	2022-01-01 00:00:00
endDate	
animeNumMembers	3170
animeScore	
animeUsers	
animeRank	
animePopularity	8719
animeDescription	"The film depicts the miracle-like encounter of the ""DonGlees"" boys. At the end of an adventure with friends that began during an unusual summer vacation, the boys arrive in Iceland—the land of flames and ice. What ""treasure"" have the boys found by looking at themselves and transcending the world...!

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Drop', 'Toto', 'Roma']
animeVoices	['Murase, Ayumu', 'Kaji, Yuki', 'Hanae, Natsuki']
animeStaff	[['Ishizuka, Atsuko', 'Director, Script'], ['Aketagawa, Jin', 'Sound Director'], ['[Alexandros]', 'Theme Song Performance'], ['Fujisawa, Yoshiaki', 'Music']]
