animeTitle	Wake Up, Girl Zoo! Miyagi PR de Go!
animeType	Special
animeNumEpisode	1
releaseDate	2016-02-11 00:00:00
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	345
animeRank	
animePopularity	10868
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Wake Up, Girl Zoo!', 'Wake Up, Girl Zoo! Taiwan de Go!']
animeCharacters	['Shimada, Mayu', 'Okamoto, Miyu', 'Katayama, Minami', 'Nanase, Yoshino', 'Kikuma, Kaya', 'Hisami, Nanami', 'Hayashida, Airi', 'Tange, Junko', 'Matsuda, Kouhei']
animeVoices	['Yoshioka, Mayu', 'Takagi, Miyu', 'Tanaka, Minami', 'Aoyama, Yoshino', 'Okuno, Kaya', 'Yamashita, Nanami', 'Eino, Airi', 'Hidaka, Noriko', 'Asanuma, Shintaro']
animeStaff	[['Morii, Kenshirou', 'Director, Script'], ['Kikuta, Hiromi', 'Sound Director'], ['Kinutani, Soushi', 'Episode Director, Storyboard'], ['Miyajima, Seiya', 'Episode Director, Storyboard, Character Design']]
