animeTitle	b'B Who I Want 2 B'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.5
animeUsers	979
animeRank	
animePopularity	
animeDescription	"b'Music video for Namie Amuro\'s ""B Who I Want 2 B"", a track from her album Genic, featuring Hatsune Miku.'"
animeRelated	[]
animeCharacters	[b'Hatsune, Miku']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYKBX\n\nDirector\n\n', b'\nHatsune, Miku\n\nTheme Song Performance\n\n', b'\nAmuro, Namie\n\nTheme Song Performance\n\n']
