animeTitle	b'Tabidachi: Ami Shuushou'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	267
animeRank	
animePopularity	
animeDescription	b'Movie based on the Ami series of the Cream Lemon franchise. This movie was co-aired with Project A-Ko movie.'
animeRelated	[b'Cream Lemon']
animeCharacters	[b'Kouno, Ryuji', b'Nonomura, Ami']
animeVoices	[b'\nHashimoto, Kouichi\nJapanese\n', b'\nOikawa, Hitomi\nJapanese\n']
animeStaff	[]
