animeTitle	Hataraku Saibou (TV)
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.59
animeUsers	245860
animeRank	
animePopularity	298
animeDescription	"Inside the human body, roughly 37.2 trillion cells work energetically 24 hours a day and 365 days a year. Fresh out of training, the cheerful and somewhat airheaded Sekkekkyuu AE3803 is ready to take on the ever-so-important task of transporting oxygen. As usual, Hakkekkyuu U-1146 is hard at work patrolling and eliminating foreign bacteria seeking to make the body their new lair. Elsewhere, little platelets are lining up for a new construction project. 

Dealing with wounds and allergies, getting lost on the way to the lungs, and bickering with similar cell types, the daily lives of cells are always hectic as they work together to keep the body healthy!

[Written by MAL Rewrite]"
animeRelated	['Hataraku Saibou', 'Hataraku Saibou Specials', 'Hataraku Saibou: Necchuushou - Moshimo Pocari Sweat ga Attara', 'Hataraku Saibou: Kaze Shoukougun', 'Hataraku Saibou!!', 'Hataraku Saibou Black (TV)']
animeCharacters	['Hakkekkyuu U-1146', 'Sekkekkyuu AE3803', 'Kesshouban', 'Macrophage', 'Killer T Saibou', 'Jujou Saibou', 'Gan Saibou', 'NK Saibou', 'Kousankyuu', 'B Saibou']
animeVoices	['Maeno, Tomoaki', 'Hanazawa, Kana', 'Naganawa, Maria', 'Inoue, Kikuko', 'Ono, Daisuke', 'Okamoto, Nobuhiko', 'Ishida, Akira', 'Yukinari, Toa', 'Ichimichi, Mao', 'Chiba, Shouya']
animeStaff	[['Takahashi, Yuuma', 'Producer'], ['Suzuki, Kenichi', 'Director, Script'], ['Aketagawa, Jin', 'Sound Director'], ['Ueno, Takehiro', 'Episode Director']]
