animeTitle	Dyogrammaton
animeType	OVA
animeNumEpisode	2
releaseDate	2006-12-15 00:00:00
endDate	2007-02-23 00:00:00
animeNumMembers	
animeScore	5.26
animeUsers	872
animeRank	
animePopularity	8704
animeDescription	"Based on an adult game by CLOCKUP 

An enormous monster appears and attacks the city, only to be thwarted by the amazingly voluptuous superheroines! Explosive action, dynamite sex scenes and battle royales take place in this futuristic flight of fantastic proportions that will make you cream in your pants!

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Amatsue, Hikari']
animeVoices	['Nakata, Junko']
animeStaff	[['CLOCKUP', 'Original Creator']]
