animeTitle	Funny Pets
animeType	TV
animeNumEpisode	12
releaseDate	2006-01-11 00:00:00
endDate	2006-03-29 00:00:00
animeNumMembers	953
animeScore	4.95
animeUsers	354
animeRank	11523
animePopularity	11244
animeDescription	"One day an armada of Unidentified Flying Objects (UFO) came out of nowhere under the full moon.

One of them mistakenly fell to the Earth.

The two Extra-Terrestrials, Crescent and Corona, who were on board the falling UFO, happened to be saved and picked up by an Earth girl Funny. In reality Crescent and Corona were forced to live as pet with that selfish and moody girl Funny...

(Source: AniDB)"
animeRelated	['Funny Pets 2nd Season']
animeCharacters	['Funny', 'Corona', 'Crescent', 'Horley']
animeVoices	[]
animeStaff	[['Masuda, Ryuuji', 'Director'], ['Kurahashi, Shizuo', 'Sound Effects']]
