animeTitle	Idol Fantasy
animeType	ONA
animeNumEpisode	1
releaseDate	2018-07-13 00:00:00
endDate	
animeNumMembers	370
animeScore	5.44
animeUsers	133
animeRank	10549
animePopularity	13849
animeDescription	An animated promotional video for Square Enix's mobile game Idol Fantasy. Within the game you the female manager Aoi Nishizono, and your job is to raise male idols to stardom in a heart-throbbing setting.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
