animeTitle	Utawarerumono Specials
animeType	Special
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	7.6
animeUsers	7383
animeRank	
animePopularity	4579
animeDescription	DVD specials of comedic events that occurred during the story of Utawarerumono. The specials are included in the DVD Box special disc.
animeRelated	['Utawarerumono']
animeCharacters	['Eruruu', 'Hakuoro', 'Karura', 'Touka', 'Aruruu', 'Benawi', 'Oboro', 'Kamyu', 'Mukkuru', 'Yuzuha']
animeVoices	['Yuzuki, Ryouka', 'Koyama, Rikiya', 'Miyake, Kaya', 'Sawashiro, Miyuki', 'Kirii, Daisuke', 'Shimoyama, Yoshimitsu']
animeStaff	[['Iwasa, Gaku', 'Producer'], ['Chung, Jin Ho', 'Producer'], ['Aquaplus', 'Original Creator']]
