animeTitle	Kimi dake ni Motetainda.
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	313
animeRank	
animePopularity	6413
animeDescription	"The story revolves around five boys who each possess a trait that have negative effects on them. The handsome boys owe a monetary debt to Sakiko Horinomiya, a girl from a rich family. Wanting the money back, she makes them enter the ""Motemen Koshien"" contest, so they can pay her back using the prize money. 

(Source: MAL News)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
