animeTitle	AriKiri
animeType	ONA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16184
animeDescription	"For Cybozu Inc.'s (a Tokyo-based software company that provides web-based groupware services) 20th anniversary they commissioned AriKiri a modern take on ""The Ant and the Grasshopper."" The anime's title is a portmanteau of Ari (ant) and Kirigirisu (grasshopper)."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
