animeTitle	Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai
animeType	Movie
animeNumEpisode	1
releaseDate	2017-12-02 00:00:00
endDate	
animeNumMembers	
animeScore	7.4
animeUsers	1373
animeRank	
animePopularity	4861
animeDescription	"One year has passed after the great battle against the ""Orochi"" (gigantic snake). Tenka had been paralyzed from the final battle and he took part of the government's human experiment before the battle. Tenka withdrew himself from society, but his younger brothers, Soramaru and Chuutaro, find out the secret past about their older brother.

(Source: Amazon Prime Video)"
animeRelated	['Donten ni Warau Gaiden', 'Donten ni Warau', 'Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma']
animeCharacters	['Kumou, Tenka', 'Kumou, Soramaru', 'Kumou, Chuutarou', 'Kinjou, Shirasu', 'Nishiki', 'Abeno, Hirari', 'Abeno, Sousei', 'Sasaki, Kiiko', 'Ashiya, Mutsuki', 'Botan']
animeVoices	[]
animeStaff	[['Ueda, Youko', 'Producer'], ['Hata, Shouji', 'Sound Director'], ['Yamada, Yutaka', 'Music'], ['Karakara, Kemuri', 'Original Creator']]
