animeTitle	Yajikita Gakuen Douchuuki
animeType	OVA
animeNumEpisode	2
releaseDate	1989-09-15 00:00:00
endDate	1991-07-25 00:00:00
animeNumMembers	1057
animeScore	5.61
animeUsers	249
animeRank	10035
animePopularity	11012
animeDescription	"Shinokita Reiko and Yajima Junko are second-year high school students who travel from school to school fighting bad guys, ninjas, yakuza and corruption. At this high school they encounter a secret ninja order and a corrupt administrator, as well as a tragic death in the distant past. With the help of Kotetsu, a skilled ninja, they set the school to rights, but not before leaving several broken hearts behind.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Yajima, Junko', 'Shinokita, Reiko', 'Kakuunsai, Kotetsu', 'Tokunari, Takezou', 'Tokunari, Yukiya', 'Matsudaira, Takako', 'Youichirou']
animeVoices	['Yamamoto, Yuriko', 'Yamada, Eiko', 'Inoue, Kazuhiko', 'Saka, Osamu', 'Nanba, Keiichi', 'Kawamura, Maria', 'Hayami, Show']
animeStaff	[['Yamasaki, Osamu', 'Director'], ['Matsumoto, Yoshihisa', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['YUKA', 'Theme Song Performance']]
