animeTitle	Chii-chan Kaihatsu Nikki
animeType	OVA
animeNumEpisode	2
releaseDate	2020-01-31 00:00:00
endDate	2020-02-07 00:00:00
animeNumMembers	4061
animeScore	6.2
animeUsers	1358
animeRank	
animePopularity	7656
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Chii-chan Kaihatsu Nikki']
animeCharacters	['Chisato']
animeVoices	[]
animeStaff	[['Raika, Ken', 'Director'], ['Mucha', 'Original Creator']]
