animeTitle	b'Kemeko Deluxe!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	15255
animeRank	
animePopularity	
animeDescription	"b""When Sanpeita Kobayashi was a child, his lovely friend had to move away, but she vowed that in ten years, they would meet again\xe2\x80\x94as husband and wife. Ten years later, Sanpeita is a high school student, but he hasn't forgotten the feelings they shared.\n\nSanpeita awakes from a dream about his last day with her, only to have his morning interrupted. A weird robot girl is battling other robots in his bedroom, claiming to be his wife. The robot's pilot looks like none other than Sanpeita's long-lost, childhood friend. But who is she really? Why did she have to leave? And what does she have to do with the Mishima Electronics Corporation?"""
animeRelated	[b'Kemeko Deluxe!', b'Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)']
animeCharacters	[b'Mishima, Mei', b'Kemeko', b'Kobayashi, Sanpeita', b'Makihara, Izumi', b'Hayakawa, Misaki', b'Kurosaki, Ryouko', b'Ramen Store Owner', b'Hayakawa, Miura', b'Repairs, Vanilla Make', b'Sounds, Kyte']
animeVoices	[b'\nTomatsu, Haruka\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nKitamura, Eri\nJapanese\n', b'\nTakahashi, Mikako\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nShiraishi, Ryouko\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nEndou, Aya\nJapanese\n', b'\nShouji, Umeka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKawase, Kouhei\n\nProducer\n\n', b'\nNakayama, Nobuhiro\n\nProducer\n\n', b'\nSatomi, Tetsurou\n\nProducer\n\n', b'\nMizushima, Tsutomu\n\nDirector, Episode Director, Storyboard, Theme Song Lyrics, Screenplay\n\n']
