animeTitle	Cosmic Baton Girl Comet-san☆
animeType	TV
animeNumEpisode	43
releaseDate	
endDate	
animeNumMembers	
animeScore	7.18
animeUsers	1118
animeRank	
animePopularity	8018
animeDescription	"Comet (12 years old in human years) is the princess of the Harmonica Star country and was to meet the prince of the Tambourine Star country at a ball where he'd pick a bride. But he isn't there and so Comet is sent to Earth to find him. He'll be known by the starlight in his eyes. She finds the Earth and she loves the people she meets there. Meanwhile, Princess Meteor of the Castanet Star country also arrives on Earth in search of the prince. Comet's companion is a little puppy with a star at the end of his tail named Rubba Ball. Of course, Comet was not the first to visit the Earth and love it, another before her did as well and married. Her pet (a white cat with bunny ears and a tiny heart on her tail named Bunny) continued life as a kind of fairy in the forest. Comet's power is drawn from the stars of her home and is channeled through her baton; she also wears a special pendant from where Rubba Ball immerges, and with which she can detect and find the prince.

(Source: ANN)"
animeRelated	['Comet-san']
animeCharacters	['Comet-san', 'Princess Meteor', 'Mishima, Keisuke', 'Rababou', 'Queen of the Castanet Star World', 'Ouhi', 'Mira', 'Hani, Kimiya']
animeVoices	['Maeda, Aki', 'Honda, Chieko', 'Asano, Mayumi', 'Kawata, Taeko', 'Fukami, Rica', 'Kobayashi, Sanae']
animeStaff	[['Kanbe, Mamoru', 'Director'], ['Chiba, Saeko', 'Theme Song Performance'], ['Watanabe, Cheru', 'Theme Song Arrangement'], ['Yokoyama, Mitsuteru', 'Original Creator']]
