animeTitle	Silent Möbius 2
animeType	Movie
animeNumEpisode	1
releaseDate	1992-07-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.26
animeUsers	989
animeRank	
animePopularity	8562
animeDescription	This sequel to the Silent Mobius The Movie 1 continues the timeline of the flashback section of the first movie (Katsumis initial contact with AMP), using some more ideas and persons from the Manga, and being slightly less incompatible to the Silent Mobius series from 1998.
animeRelated	['Silent Möbius', 'Silent Möbius: The Motion Picture']
animeCharacters	['Liqueur, Katsumi', 'Phenil, Kiddy', 'Yamigumo, Nami', 'Cheyenne, Rally', 'Mavelick, Lebia', 'Yuki, Saiko', 'Liqueur, Gigelf', 'Liqueur, Fuyuka', 'Grosspoliner']
animeVoices	['Matsui, Naoko', 'Tsuru, Hiromi', 'Honda, Chieko', 'Fujita, Toshiko', 'Takashima, Gara', 'Okamoto, Maya', 'Ikeda, Masako']
animeStaff	[['Ide, Yasunori', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Nakamura, Manabu', 'Script'], ['Murayama, Kiyoshi', 'Storyboard']]
