animeTitle	Sugar*Soldier
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.79
animeUsers	4982
animeRank	
animePopularity	5199
animeDescription	"Three episodes aired on TV as part of the Ribon x Oha Suta specials. 

Makoto is determined to step out of her model sister's shadow and have her own high school debut, but when Makoto's sister shows up at her school unexpectedly, things go awry. 

(Source: MU)
"
animeRelated	['Sugar*Soldier']
animeCharacters	['Kisaragi, Makoto', 'Iriya, Shun', 'Kisaragi, Rika']
animeVoices	['Minase, Inori', 'Oosaka, Ryouta']
animeStaff	[['Minase, Inori', 'Inserted Song Performance'], ['Sakai, Mayu', 'Original Creator']]
