animeTitle	Nijiiro Days
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.3
animeUsers	81244
animeRank	
animePopularity	918
animeDescription	"Nijiiro Days follows the colorful lives and romantic relationships of four high school boys—Natsuki Hashiba, a dreamer with delusions of love; Tomoya Matsunaga, a narcissistic playboy who has multiple girlfriends; Keiichi Katakura, a kinky sadist who always carries a whip; and Tsuyoshi Naoe, an otaku who has a cosplaying girlfriend.

When his girlfriend unceremoniously dumps him on Christmas Eve, Natsuki breaks down in tears in the middle of the street and is offered tissues by a girl in a Santa Claus suit. He instantly falls in love with this girl, Anna Kobayakawa, who fortunately attends the same school as him. Natsuki's pursuit of Anna should have been simple and uneventful; however, much to his dismay, his nosy friends constantly meddle in his relationship, as they strive to succeed in their own endeavors of love.

[Written by MAL Rewrite]"
animeRelated	['Nijiiro Days', 'Nijiiro Days: Houkago Special', 'Nijiiro Days OVA']
animeCharacters	['Katakura, Keiichi', 'Naoe, Tsuyoshi', 'Hashiba, Natsuki', 'Matsunaga, Tomoya', 'Kobayakawa, Anna', 'Tsutsui, Mari', 'Asai, Yukiko', 'Matsunaga, Nozomi', 'Kakei', 'Chiba']
animeVoices	['Shimazaki, Nobunaga', 'Uchiyama, Kouki', 'Matsuoka, Yoshitsugu', 'Eguchi, Takuya', 'Tsuda, Minami', 'Uchiyama, Yumi', 'Ishigami, Shizuka', 'Kayano, Ai', 'Urata, Wataru', 'Toda, Megumi']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Ookubo, Tomihiko', 'Director'], ['Koizumi, Kisuke', 'Sound Director'], ['Matsuoka, Yoshitsugu', 'Theme Song Performance']]
