animeTitle	Juunenbun no Watashi e
animeType	ONA
animeNumEpisode	1
releaseDate	2020-10-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	321
animeRank	
animePopularity	12037
animeDescription	Concept movie for All Nippon Esthetic Association (AEA).
animeRelated	[]
animeCharacters	['Saki', 'Umi', 'Sensei']
animeVoices	['Ueda, Reina', 'Takahashi, Rie', 'Ishii, Misa']
animeStaff	[['loundraw', 'Director, Episode Director, Script, Editing, Animation Check, Art Director, Chief Animation Director, Character Design'], ['Kosemura, Akira', 'Music'], ['Yaso, Shouta', 'Sound Effects']]
