animeTitle	Doushitemo Eto ni Hairitai
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13581
animeDescription	"Rat, a member of the Zodiac, meets a normal cat at a park one day. Rat comes to love Cat so much that it becomes very eager to get Cat to become a member of the Zodiac. Cat goes with Rat to meet the rest of the 12 members of the Zodiac to ask them to become a member.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Neko', 'Nezumi', 'Inoshishi', 'Tatsu', 'Hebi', 'Inu', 'Tori', 'Ushi']
animeVoices	['Kugimiya, Rie', 'Masuda, Yuki', 'Shingaki, Tarusuke', 'Cho', 'Yonaga, Tsubasa', 'Tomatsu, Haruka', 'Ookawa, Tooru']
animeStaff	[['eufonius', 'Theme Song Performance']]
