animeTitle	Uchuu Kyoudai: Number Zero
animeType	Movie
animeNumEpisode	1
releaseDate	2014-08-09 00:00:00
endDate	
animeNumMembers	
animeScore	7.6
animeUsers	1518
animeRank	
animePopularity	6380
animeDescription	"Prequel to the TV anime series revolving around the ""origin of the dream."""
animeRelated	['Uchuu Kyoudai']
animeCharacters	['Nanba, Mutta', 'Nanba, Hibito', 'Jay, Brian', 'Jay, Eddie']
animeVoices	['Hirata, Hiroaki', 'KENN', 'Ootsuka, Akio', 'Arimoto, Kinryuu']
animeStaff	[['Watanabe, Ayumu', 'Director'], ['Ishii, Toshimasa', 'Episode Director, Storyboard'], ['Koyama, Chuuya', 'Original Creator'], ['Okuno, Haruo', 'Key Animation, Animation Director']]
