animeTitle	Dream Festival! R
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.88
animeUsers	1603
animeRank	
animePopularity	7311
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Dream Festival!']
animeCharacters	['Amamiya, Kanade', 'Sasaki, Junya', 'Sawamura, Chizuru', 'Oikawa, Shin', 'Katagiri, Itsuki', 'Kazama, Keigo', 'Mikami, Haruto', 'Kuroishi, Yuuto', 'Sawamura, Yuzuru', 'Saotome, Chikage']
animeVoices	['Ishihara, Souma', 'Tomita, Kentarou', 'Masaki, Kaoru', 'Mizoguchi, Takuya', 'Oota, Masaki', 'Totani, Kimito', 'Morikawa, Toshiyuki', 'Kabumoto, Hideaki', 'Yonaga, Tsubasa', 'Abe, Atsushi']
animeStaff	[['Murano, Yuuta', 'Director'], ['Kikuta, Hiromi', 'Sound Director'], ['Hisao, Ayumu', 'Script'], ['Morikawa, Toshiyuki', 'Theme Song Performance']]
