animeTitle	Shinken Seminar Koukou Kouza
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13840
animeDescription	"Shinken Seminar Koukou Kouza is Benesse's correspondence course that helps middle school students get into their high schools of choice. The story follows a middle school boy named Shouta as he strives to get in the right high school, despite the appearance of a rival.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Hina', 'Takumi', 'Shouta']
animeVoices	['Hirano, Aya', 'Taniyama, Kishou', 'Irino, Miyu']
animeStaff	[['Takadera, Takeshi', 'Sound Director'], ['Jinbo, Masato', 'Episode Director'], ['Mochizuki, Tomomi', 'Storyboard'], ['Hirano, Aya', 'Theme Song Performance']]
