animeTitle	b'Otaku no Video'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.14
animeUsers	11822
animeRank	
animePopularity	
animeDescription	b'Somewhat based on the real story of how Gainax was founded, Otaku no Video addresses all aspects of an otaku lifestyle. Ken Kubo is a young man living an average life until he is dragged into a group of otaku. Slowly, he becomes more like them until he decides to abandon his former life to become king of otaku\xe2\x80\x94the otaking!\n\nMixed in are live-action interviews with real otaku, addressing every aspect of hardcore otaku life. Not only are anime and manga fans included, but also sci-fi fans, military fans, and other groups of Japanese geeks.'
animeRelated	[b'Daicon Opening Animations']
animeCharacters	[b'Kubo, Ken', b'Tanaka', b'Satou, Yuri', b'May, Misty', b'Yoshida', b'Nakamaru, Youko', b'Yamaguchi', b'Iiyama', b'Kitajima', b'Hino']
animeVoices	[b'\nTsujitani, Kouji\nJapanese\n', b'\nSakurai, Toshiharu\nJapanese\n', b'\nAmano, Yuri\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nUmezu, Hideyuki\nJapanese\n', b'\nYukie, Rena\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nNakahara, Shigeru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMori, Takeshi\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nMasuo, Shouichi\n\nEpisode Director, Key Animation\n\n', b'\nOkada, Toshio\n\nScript, Screenplay\n\n']
