animeTitle	b'Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.46
animeUsers	72531
animeRank	
animePopularity	
animeDescription	b'In the story, the seasons have changed and it will soon be the second spring. Tatsuya and Miyuki have finished their first year at First Magic High School and are on their spring break. The two go to their villa on the Ogasawara Island archipelago. After only a small moment of peace a lone young woman named Kokoa appears before them. She has abandoned the Naval base and she tells Tatsuya her one wish.\n\n(Source: ANN)'
animeRelated	[b'Gekijouban Mahouka Koukou no Rettousei: Hoshi wo Yobu Shoujo', b'Mahouka Koukou no Rettousei', b'Mahouka x Mameshiba']
animeCharacters	[b'Shiba, Tatsuya', b'Shiba, Miyuki', b'Saegusa, Mayumi', b'Chiba, Erika', b'Kudou Shields, Angelina', b'Kitayama, Shizuku', b'Mitsui, Honoka', b'Shibata, Mizuki', b'Watanabe, Mari', b'Saijou, Leonhart']
animeVoices	[b'\nNakamura, Yuuichi\nJapanese\n', b'\nHayami, Saori\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nUchiyama, Yumi\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nTatsumi, Yuiko\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nSatou, Satomi\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nTerashima, Takuma\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Risako\n\nDirector\n\n', b'\nIwataki, Satoshi\n\nStoryboard\n\n', b'\nGARNiDELiA\n\nTheme Song Performance, Theme Song Composition, Theme Song Lyrics\n\n', b'\nIwasaki, Taku\n\nMusic\n\n']
