animeTitle	Tensei shitara Slime Datta Ken Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	2436
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Tensei shitara Slime Datta Ken 2nd Season Part 2']
animeCharacters	['Tempest, Rimuru', 'Nava, Milim', 'Shuna', 'Shion', 'Tempest, Veldora', 'Benimaru', 'Ranga', 'Souei', 'Gobuta', 'Geld']
animeVoices	[]
animeStaff	[['Fuse', 'Original Creator'], ['Mitz Vah', 'Original Character Design'], ['Kawakami, Taiki', 'Original Character Design']]
