animeTitle	Inyouchuu Etsu
animeType	OVA
animeNumEpisode	2
releaseDate	2011-01-21 00:00:00
endDate	2011-08-19 00:00:00
animeNumMembers	
animeScore	6.15
animeUsers	1738
animeRank	
animePopularity	6966
animeDescription	"One day, Yamato, Mikoto and Takeru visit a village in the mountain for the training to be monster hunters. They have various hard trainings and finally become the monster hunters. But there is something wrong with Yamato's body. His body gradually changes into a monster... what is happening to his body? Who can stop it? To save Yamato, Mikoto and Takeru make every effort to do so. What is the secret to Yamato's body? What will happen to Mikoto and Takeru?

(Source: ErogeShop)"
animeRelated	['Inyouchuu', 'Inyouchuu Etsu: Kairaku Henka Taimaroku', 'Inyouchuu Shoku: Ryoushokutou Taimaroku', 'Inyouchuu Etsu Special']
animeCharacters	['Shiratori, Mikoto', 'Shiratori, Takeru', 'Yagami, Yayoi']
animeVoices	[]
animeStaff	[['TinkerBell', 'Original Creator'], ['Aojiru', 'Original Character Design, Original Creator'], ['Masudate, Toshihide', 'Character Design'], ['Mikasa, Osamu', 'Color Design']]
