animeTitle	Mengyou Dunhuang
animeType	ONA
animeNumEpisode	5
releaseDate	2020-07-06 00:00:00
endDate	2020-08-03 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17164
animeDescription	"Due to the dissipation of the heavenly scripture powers, Dunhuang will face adversity. Wu Tianji is ordered to repair the heavenly scriptures. In order to perfect the heavenly scripture powers, you need to relive the story originally recorded in the heavenly scripture. Wu Tianji took the god beast, the angel pig, to the ancient city of Dunhuang. Just when she had no idea how to start repairing the scriptures, she accidentally strayed into the world of frescoes in the Mogao Caves...

(Source: bilibili, translated)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
