animeTitle	Gundam Build Divers Prologue
animeType	ONA
animeNumEpisode	1
releaseDate	2018-02-02 00:00:00
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	3105
animeRank	
animePopularity	6642
animeDescription	"The Gunpla Force Battle Tournament is a big event held in GBN once per year. Competing in the final round are Avalon, led by the champion Kyoya Kujo, and the elite 7th Panzer Division led by the cunning Rommel. Starting with Kyoya's Gundam AGE II Magnum, a variety of Gunpla take to the field to determine which is the strongest force!

(Source: Official site)"
animeRelated	['Gundam Build Fighters Try: Island Wars', 'Gundam Build Divers']
animeCharacters	['Mikami, Riku', 'Hidaka, Yukio', 'Kujou, Kyouya', 'Rommel', 'Emilia', 'Jack', 'Chambre', 'Kurt', 'Karuna']
animeVoices	['Kobayashi, Yuusuke', 'Fujiwara, Natsumi', 'Kasama, Jun', 'Hayami, Show', 'Mori, Nanako', 'Tadokoro, Hinata', 'Egoshi, Akinori', 'Yamamoto, Kanehira', 'Nakajima, Yoshiki']
animeStaff	[]
