animeTitle	Scarecrowman
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13888
animeDescription	A regular old scarecrow has stood in a field for twenty years when one day, after a lightning storm, he comes to life. He becomes friends with the daughter of a scarecrow shop owner.
animeRelated	[]
animeCharacters	['Scarecrowman', 'Alice']
animeVoices	['Nojima, Hirofumi', 'Enomoto, Atsuko']
animeStaff	[['Takeuchi, Yoshio', 'Director'], ['Kameyama, Koichiro', 'Music'], ['Miyano, Takashi', 'Art Director'], ['Hiyoshi, Kei', 'Series Composition']]
