animeTitle	Rockman.EXE Beast+
animeType	TV
animeNumEpisode	26
releaseDate	2006-04-08 00:00:00
endDate	2006-09-30 00:00:00
animeNumMembers	5583
animeScore	6.84
animeUsers	1795
animeRank	4464
animePopularity	6693
animeDescription	"Beast+ continues from where Beast left off, though it is marketed as a stand-alone series. Episodes are reduced to approximately ten minutes in length, airing in the thirty minute time-slot Oha Coliseum alongside the Saru Getchu anime. Beast+ consists of a string of arcs beginning with the appearance of the Professor and Zero (both from Mega Man Network Transmission). 

(Source: Wikipedia)"
animeRelated	['Ryuusei no Rockman', 'Rockman.EXE Beast']
animeCharacters	['Rockman.EXE', 'Hikari, Netto', 'Ijuuin, Enzan', 'Sakurai, Meiru', 'Roll.EXE', 'Iris.Exe', 'Blues.EXE', 'Gutsman.EXE', 'Ozono, Mariko', 'Medi.EXE']
animeVoices	['Kimura, Akiko', 'Higa, Kumiko', 'Saiga, Mitsuki', 'Mizuhashi, Kaori', 'Sendai, Eri']
animeStaff	[['Kato, Takao', 'Director'], ['Watanabe, Jun', 'Sound Director'], ['Araki, Kenichi', 'Script, Series Composition'], ['Oota, Masahiko', 'Storyboard']]
