animeTitle	Master of Torque: Epilogue
animeType	ONA
animeNumEpisode	1
releaseDate	2016-12-25 00:00:00
endDate	
animeNumMembers	492
animeScore	5.25
animeUsers	184
animeRank	11024
animePopularity	13003
animeDescription	"An epilogue of Master of Torque shows what the series' characters are up to one year after the events of Season 3 at the foot of Mt. Fuji.

(Source: Official Email)"
animeRelated	['Master of Torque 3']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
