animeTitle	Chalk-iro no People
animeType	OVA
animeNumEpisode	1
releaseDate	1988-10-05 00:00:00
endDate	
animeNumMembers	310
animeScore	
animeUsers	
animeRank	15130
animePopularity	14458
animeDescription	"An OVA with five short episodes from Seizou Watase's romantic manga:
""Building Without Tide""
""Brother and Sister""
""Sometimes I'm Happy""
""I've Saved the Sidecar for You""
""The Santa Quartet"" "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
