animeTitle	b'Pokemon Movie 06: Nanayo no Negaiboshi Jirachi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.75
animeUsers	52346
animeRank	
animePopularity	
animeDescription	"b""This is the 6th Movie.\n\nSatoshi, Haruka, Takeshi, and Masato come upon the festival of the Wishing Star of Seven Nights. During their enjoyment, the legendary pokemon, Jirachi, decends from the heavens and befriends Masato. Jirachi, with the power to grant any wish, is sought after by many people wanting to claim its power. One man seeks to use its legendary power to revive an ancient pokemon known as Groudon, unaware of the dangers hidden within Jirachi's powers\n\n(Source: ANN)"""
animeRelated	[b'Gekijouban Pocket Monster Advanced Generation: Nanayo no Negaiboshi Jirachi', b'Pokemon Advanced Generation', b'Pokemon: Odoru Pokemon Himitsu Kichi']
animeCharacters	[b'Pikachu', b'Satoshi', b'Takeshi', b'Haruka', b'Jirachi', b'Masato', b'Kojirou', b'Musashi', b'Nyarth', b'Soonansu']
animeVoices	[b'\nOotani, Ikue\nJapanese\n', b'\nMatsumoto, Rica\nJapanese\n', b'\nUeda, Yuuji\nJapanese\n', b'\nKawana, Midori\nJapanese\n', b'\nSuzuki, Tomiko\nJapanese\n', b'\nYamada, Fushigi\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nInuyama, Inuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYuyama, Kunihiko\n\nDirector, Storyboard\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nAsada, Yuuji\n\nEpisode Director\n\n', b'\nSonoda, Hideki\n\nScript\n\n']
