animeTitle	Meng Qi Shi Shen
animeType	ONA
animeNumEpisode	12
releaseDate	2018-12-29 00:00:00
endDate	2019-03-09 00:00:00
animeNumMembers	
animeScore	7.27
animeUsers	5188
animeRank	
animePopularity	4466
animeDescription	"Ye Jiayao is a young and talented cook who dreams of becoming a renowned chef one day. As luck would have it, she's magically transported back in time to Imperial China, and in the body of an extremely useless girl. Ye Jiayao is immediately kidnapped and held for ransom, but she manages to use her wits (and her sense of humor) to get whatever she wants.

(Source: CBR)"
animeRelated	['Meng Qi Shi Shen 2nd Season']
animeCharacters	['Chunyu, Xia ', 'Ye, Jinxuan', 'Jing, Helian', 'Jiang', 'Pengwu', 'Songqi', 'Zhao, Qixuan']
animeVoices	[]
animeStaff	[]
