animeTitle	New Game!: Watashi, Shain Ryokou tte Hajimete nano de...
animeType	OVA
animeNumEpisode	1
releaseDate	2017-05-03 00:00:00
endDate	
animeNumMembers	
animeScore	7.41
animeUsers	31225
animeRank	
animePopularity	2135
animeDescription	"The staff of Eagle Jump take a long awaited vacation to a ski resort, celebrating the release of their latest iteration of the 'Fairies Story' game. Being her first company trip, Aoba Suzukaze is excited for it, but is also apprehensive as she has no prior skiing experience. Join Aoba and her colleagues as they de-stress and enjoy their time at the resort.

[Written by MAL Rewrite]"
animeRelated	['New Game!', 'New Game!!']
animeCharacters	['Suzukaze, Aoba', 'Takimoto, Hifumi', 'Yagami, Kou', 'Ahagon, Umiko', 'Sakura, Nene', 'Iijima, Yun', 'Shinoda, Hajime', 'Tooyama, Rin', 'Hazuki, Shizuku']
animeVoices	['Takada, Yuuki', 'Yamaguchi, Megumi', 'Hikasa, Youko', 'Morinaga, Chitose', 'Asahina, Madoka', 'Takeo, Ayumi', 'Toda, Megumi', 'Kayano, Ai', 'Kitamura, Eri']
animeStaff	[['Tokunou, Shoutarou', 'Original Creator']]
