animeTitle	Beyblade Burst Chouzetsu
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	6.34
animeUsers	4619
animeRank	
animePopularity	5470
animeDescription	"Two years after the God Blader's Cup, Valt Ao battles Aiga Akaba, a ""wild child"" that grew up in nature. After battling, he became inspired to become the No.1 Blader in the world, along with his beyblade, Z Achilles. He aims to fight strong opponents in an effort to become stronger himself. To defeat Valt Aoi and become the World Champion, Aiga begins his journey."
animeRelated	['Beyblade Burst God', 'Beyblade Burst Gachi']
animeCharacters	['Akaba, Aiga', 'Phi', 'Sumie, Fubuki', 'Kurenai, Shuu', 'De La Hoya, Free', 'Aoi, Valt', 'Shirasagijou, Lui', 'Kiyama, Rantarou', 'Goshuin, Suoh', 'Xhakuenji, Kaiza']
animeVoices	['Ikeda, Tomoko', 'Koyasu, Takehito', 'Yasuda, Rikuya', 'Enoki, Junya']
animeStaff	[['Akiyama, Katsuhito', 'Director'], ['Yamaguchi, Kentarou', 'Director'], ['Kawagoe, Kazuki', 'Episode Director, Storyboard'], ['Hatori, Jun', 'Storyboard']]
