animeTitle	Schwarzesmarken
animeType	TV
animeNumEpisode	12
releaseDate	2016-01-11 00:00:00
endDate	2016-03-28 00:00:00
animeNumMembers	
animeScore	6.77
animeUsers	36920
animeRank	
animePopularity	1631
animeDescription	"The year is 1983. The Cold War is in full effect, and humanity is under attack. Strange aliens, given the name ""BETA,"" have descended to Earth with the goal of destroying all life. Soldiers have been tasked with piloting large combat suits called Tactical Surface Fighters (TSF) to repel the alien invaders, but the front line is slowly being pushed back towards the surviving cities.

Schwarzesmarken follows the story of Second Lieutenant Theodor Eberbach and the other members of the 666th TSF squadron, a ruthless unit that values a mission's completion over human life. Stationed in East Germany and led by war hero Captain Irisdina Bernhard, the unit specializes in counterassault attacks on laser-class BETA. But the 666th squadron finds itself with more enemies than just the alien forces when optimistic rookie Katia Waldheim joins the squadron, drawing the attention of East Germany's secret police, the Stasi.

[Written by MAL Rewrite]"
animeRelated	['Schwarzesmarken', 'Muv-Luv Alternative: Total Eclipse']
animeCharacters	['Hohenstein, Lise', 'Bernhard, Irisdina', 'Eberbach, Theodor', 'Waldheim, Katia', 'Brehme, Beatrix', 'Jeckeln, Gretel', 'Pham, Thi-Lan', 'Krzasińska, Sylwia', 'Steinhoff, Circe', 'Axmann, Heinz']
animeVoices	['Nanjou, Yoshino', 'Yamamoto, Nozomi', 'Suzumura, Kenichi', 'Tanaka, Minami', 'Tamura, Yukari', 'Yasuno, Kiyono', 'Katou, Emiri', 'Murase, Michiyo', 'Numakura, Manami', 'Narita, Ken']
animeStaff	[['Call, Evan', 'Producer, Theme Song Arrangement, Theme Song Composition, Music'], ['Satomi, Tetsurou', 'Producer'], ['Watanabe, Tetsuya', 'Director'], ['Motoyama, Satoshi', 'Sound Director']]
