animeTitle	Akikan!: Kan Ippatsu!? Onsen Panic
animeType	OVA
animeNumEpisode	1
releaseDate	2009-10-23 00:00:00
endDate	
animeNumMembers	
animeScore	6.24
animeUsers	12695
animeRank	
animePopularity	3666
animeDescription	"The story revolves around a typical high school boy named Kakeru Daichi and the can of melon juice soda that he bought from a vending machine. The can suddenly transforms into a beautiful but standoffish girl that Kakeru nicknames ""Melon"", and more ""Akikan"" (""empty can"") girls appear. However, Akikan girls need to be infused with carbon dioxide in order to turn into a human.

(Source: ANN, edited)"
animeRelated	['Akikan!']
animeCharacters	['Melon', 'Daichi, Kakeru', 'Yell', 'Tenkuuji, Najimi', 'Miku', 'Budoko', 'Otoya, Hidehiko', 'Kochikaze, Yurika', 'Kizaki, Airin', 'Amaji, Gorou']
animeVoices	['Narita, Sayaka', 'Fukuyama, Jun', 'Noto, Mamiko', 'Toyosaki, Aki', 'Nakajima, Megumi', 'Yuuki, Aoi', 'Okiayu, Ryoutarou', 'Ookubo, Aiko', 'Toyoguchi, Megumi', 'Okamoto, Nobuhiko']
animeStaff	[['Takadera, Takeshi', 'Sound Director'], ['Hata, Aki', 'Theme Song Lyrics'], ['Charmmy Queen', 'Theme Song Performance'], ['Matsuda, Akito', 'Music']]
