animeTitle	Docchi mo Maid
animeType	ONA
animeNumEpisode	1
releaseDate	2004-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	4.12
animeUsers	841
animeRank	
animePopularity	9910
animeDescription	Izumi, a 12-year-old schoolgirl, suddenly gets not one but two lovely and rather lewd maids from outer space, who have to defend her city from a monster's invasion.
animeRelated	[]
animeCharacters	['Izumi', 'Ido', 'Mei', 'Frilly', 'Chicchaiko']
animeVoices	['Ouka, Kasuga', 'Kurage, Kozue', 'Okajima, Tae', 'Hiiragi, Kagura', 'Mihiro, Matsuri']
animeStaff	[['Ishikawa, Naoya', 'Director, Script, Theme Song Lyrics'], ['Okajima, Tae', 'Theme Song Performance'], ['Kurage, Kozue', 'Theme Song Performance'], ['Morita, Shunsuke', 'Theme Song Composition']]
