animeTitle	Megumi to Taiyou II: Kajuu Gummi Tweet Mystery - Kieta Sapphire Roman no Nazo
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.01
animeUsers	295
animeRank	
animePopularity	11231
animeDescription	"The ""Megumi and Taiyou II"" commercial centers on the mystery of Taiyou's missing ""Sapphire Roman""—a seedling for grapes of ""legendary"" taste.

(Source: ANN)"
animeRelated	['Megumi to Taiyou: Kajuu Gummi Tweet Love Story', 'Megumi to Taiyou III: Kajuu Gummi Tweet Fantasy - Timeline World']
animeCharacters	['Taiyou', 'Megumi']
animeVoices	['Sugita, Tomokazu', 'Mizuki, Nana']
animeStaff	[['Mizuki, Nana', 'Theme Song Performance'], ['Nakamura, Yusuke', 'Character Design'], ['Rintaro', 'Animation Director']]
