animeTitle	Minami-ke Betsubara
animeType	OVA
animeNumEpisode	1
releaseDate	2009-06-23 00:00:00
endDate	
animeNumMembers	27852
animeScore	7.5
animeUsers	14683
animeRank	1637
animePopularity	3418
animeDescription	"Valentine's Day is approaching; Hosaka is still trying to express his love to Haruka by cooking, cross-dressing Mako-chan fears to be found out, Kana-""sensei"" teaches the other girls how to ""win"" Valentine's Day, and Fujioka is desperately trying to receive Kana's chocolate."
animeRelated	['Minami-ke', 'Minami-ke Okaeri']
animeCharacters	['Minami, Kana', 'Minami, Chiaki', 'Minami, Haruka', 'Hosaka', 'Makoto', 'Minami, Touma', 'Uchida, Yuka', 'Fujioka', 'Minami, Natsuki', 'Atsuko']
animeVoices	['Inoue, Marina', 'Chihara, Minori', 'Satou, Rina', 'Ono, Daisuke', 'Morinaga, Rika', 'Mizuki, Nana', 'Kitamura, Eri', 'Kakihara, Tetsuya', 'Yoshino, Hiroyuki', 'Ono, Ryouko']
animeStaff	[['Oikawa, Kei', 'Director'], ['Ebina, Yasunori', 'Sound Director'], ['Kobayashi, Kousuke', 'Episode Director, Storyboard'], ['Oshika, Rie', 'Script, Screenplay']]
