animeTitle	Boku no Hero Academia: Sukue! Kyuujo Kunren!
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.28
animeUsers	73139
animeRank	
animePopularity	1193
animeDescription	"UA High School must regain the public's confidence after the surprise villain attack during class 1-A's training session. Although some of the teachers were gravely injured in the attack, Izuku ""Deku"" Midoriya and his classmates must continue to learn and train, and utilize their quirks in varying environments and circumstances. 

Boku no Hero Academia: Sukue! Kyuujo Kunren! follows class 1-A as they attempt to finally complete their training. However, there's a masked figure roaming around the training center. Have the villains responsible for the previous incident returned to finish the job? If so, are the students ready to fight back?

[Written by MAL Rewrite]"
animeRelated	['Boku no Hero Academia']
animeCharacters	['Midoriya, Izuku', 'Bakugou, Katsuki', 'Uraraka, Ochako', 'Iida, Tenya', 'Todoroki, Shouto', 'All Might', 'Aizawa, Shouta', 'Kirishima, Eijirou', 'Asui, Tsuyu', 'Kaminari, Denki']
animeVoices	['Yamashita, Daiki', 'Okamoto, Nobuhiko', 'Sakura, Ayane', 'Ishikawa, Kaito', 'Kaji, Yuki', 'Miyake, Kenta', 'Suwabe, Junichi', 'Masuda, Toshiki', 'Yuuki, Aoi', 'Hatanaka, Tasuku']
animeStaff	[['Horikoshi, Kouhei', 'Original Creator'], ['Mitani, Takashi', 'Animation Director'], ['Kawakami, Nobuhiko', 'Key Animation']]
