animeTitle	b'Bartender'
animeType	b'TV'
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	7.36
animeUsers	22253
animeRank	
animePopularity	
animeDescription	b'Hidden in the backstreets of the Ginza district is Eden Hall, a lone bar operated by Ryuu Sasakura, the prodigy bartender who is said to mix the most incredible cocktails anyone has ever tasted. However, not just anyone can find Eden Hall; rather, it is Eden Hall that must find you. Customers of varying backgrounds, each plagued with their own troubles, wander into this bar. Nevertheless, Ryuu always knows the ideal cocktail to console and guide each distraught soul.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Bartender']
animeCharacters	"[b'Sasakura, Ryuu', b'Kurushima, Miwa', b'Kurushima, Taizo', b'Higashiyama, Minoru', b'Oda, Masahiro', b'Gotou, Keiko', b'Souma, Kouji', b'Tajima', b'Aki', b""Bar Saitou's Master""]"
animeVoices	[b'\nMizushima, Takahiro\nJapanese\n', b'\nFujimura, Ayumi\nJapanese\n', b'\nIshimori, Takkou\nJapanese\n', b'\nYajima, Masaaki\nJapanese\n', b'\nHanawa, Eiji\nJapanese\n', b'\nAsano, Mayumi\nJapanese\n', b'\nKatou, Seizou\nJapanese\n', b'\nAoyama, Yutaka\nJapanese\n', b'\nSuzuki, Naoko\nJapanese\n', b'\nKawazu, Yasuhiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamamoto, Kouji\n\nProducer\n\n', b'\nWatanabe, Masaki\n\nDirector\n\n', b'\nMotoyama, Satoshi\n\nSound Director\n\n', b'\nShiraishi, Michita\n\nEpisode Director\n\n']
