animeTitle	Fuusen Shoujo Temple-chan
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.16
animeUsers	126
animeRank	
animePopularity	13138
animeDescription	"When a little girl who loves music sneaks aboard a balloon, she soon finds herself far from home. She meets other children who also love music and agree to help her find her way back home.

(Source: AniDB)"
animeRelated	['Fuusen Shoujo Temple-chan Movie']
animeCharacters	['Temple', 'Dora', 'Fuat', 'Chuppi', 'Gappe', 'Narrator', 'Tam Tam']
animeVoices	['Takizawa, Kumiko', 'Ogata, Kenichi', 'Hisamatsu, Yuuko', 'Yano, Youko', 'Kimotsuki, Kaneta', 'Tani, Ikuko', 'Tsukase, Noriko']
animeStaff	[['Okuda, Seiji', 'Episode Director'], ['Ueda, Hidehito', 'Episode Director'], ['Nunokawa, Yuuji', 'Episode Director'], ['Nagaki, Bonjin', 'Episode Director']]
