animeTitle	KanColle Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2016-11-26 00:00:00
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	14226
animeRank	
animePopularity	3004
animeDescription	"The movie starts off after the events of Episode 3, when Kisaragi had sunk. The Mikawa Fleet (Furutaka, Aoba, Kako, Kinugasa and Tenryuu) are in the middle of Night Battle. Choukai uses Searchlight and gets medium damage, but they win in the end. A New Fleet Girl gets ""dropped"", emerging from the sea. It is Kisaragi. Kisaragi is brought back to the temporary base in Solomon Islands, but she is suffering from PTSD and has amnesia, unable to remember anyone from back in the anime, excluding Mutsuki...

(Source: Wikipedia)"
animeRelated	['Kantai Collection: KanColle']
animeCharacters	['Kaga', 'Fubuki', 'Akagi', 'Mutsuki', 'Kisaragi', 'Kongou', 'Shimakaze', 'Hibiki', 'Yuudachi', 'Haruna']
animeVoices	['Iguchi, Yuka', 'Uesaka, Sumire', 'Fujita, Saki', 'Hidaka, Rina', 'Touyama, Nao', 'Sakura, Ayane', 'Suzaki, Aya', 'Tanibe, Yumi']
animeStaff	[['WEST GROUND', 'Producer, Theme Song Arrangement, Theme Song Composition'], ['Kusakawa, Keizou', 'Director'], ['Nishizawa, Shiena', 'Theme Song Performance'], ['Tanaka, Kensuke', 'Original Creator']]
