animeTitle	Hello Kitty no London ni Orita Uchuujin
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14541
animeDescription	In this original story by Hoshiyama Hiroyuki, Kitty White hears from friends about recent UFO sightings and goes to inspect one of the UFO crash sites, to learn more about it and the aliens that came with it.
animeRelated	[]
animeCharacters	['White, Kitty', 'White, Mimmy']
animeVoices	[]
animeStaff	[['Ishikawa, Yasuo', 'Director'], ['Hoshiyama, Hiroyuki', 'Screenplay, Original Creator'], ['Tsuji, Shintarou', 'Executive Producer']]
