animeTitle	Tengen Toppa Gurren Lagann: Parallel Works 2
animeType	Music
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	6.92
animeUsers	9386
animeRank	
animePopularity	3908
animeDescription	"Another installment in the Tengen Toppa Gurren Lagann Parallel Works anthology series of animated shorts, featuring characters from Gurren Lagann in alternative worlds. Every clip is animated by a particular animator of GAINAX. 

Creators are Gekidan Inu Curry, Akemi Hayashi, Sushio, Shouko Nishigaki, Satoru Yamaguchi, Shouji Saeki & Shingo Abe and Ayumu Kotake. "
animeRelated	['Tengen Toppa Gurren Lagann', 'Tengen Toppa Gurren Lagann: Parallel Works']
animeCharacters	['Simon', 'Teppelin, Nia', 'Bachika, Kittan', 'Adai, Rossiu', 'Adai, Darry', 'Adai, Gimmy', 'Kamina', 'Littner, Yoko', 'Viral', 'Lordgenome']
animeVoices	[]
animeStaff	[['Sushio', 'Director, Episode Director, Storyboard, Planning, Animation Director, Key Animation'], ['Yoshinari, You', 'Key Animation'], ['Nishigori, Atsushi', 'Character Design']]
