animeTitle	b'Momoko'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.24
animeUsers	360
animeRank	
animePopularity	
animeDescription	"b""Kentaro, your basic salaryman, co-habits an apartment with his old study mate Haruo. He's engaged to his boss's daughter, the selfish Reiko. While waiting on Reiko to meet up up with him he comes across the quirky Momoko, an aspiring actress who sees herself as the future Japanese Marilyn Monroe. \nKentaro accidentally gets her fired from her side-job and Momoko knows a pefect way for him to make it up to her: she decides to move in with him and provide for all his and her needs. \nThings get more complicated when Momoko gets a job with Kentaro's company.\n\nBased on the erotic manga by Aikawa Tetsuya (\xe6\x84\x9b\xe5\xb7\x9d\xe5\x93\xb2\xe4\xb9\x9f).\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Minami, Kentarou', b'Morita, Momoko']
animeVoices	[b'\nFurukawa, Toshio\nJapanese\n', b'\nMatsui, Naoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTsuruyama, Osamu\n\nEpisode Director, Key Animation, Animation Director\n\n', b'\nKogawa, Yoriyasu\n\nStoryboard\n\n', b'\nMotohashi, Hideyuki\n\nCharacter Design\n\n', b'\nArai, Kazuhiro\n\nArt Director\n\n']
