animeTitle	Cinderella Girls Gekijou 2nd Season
animeType	TV
animeNumEpisode	13
releaseDate	2017-10-03 00:00:00
endDate	2017-12-26 00:00:00
animeNumMembers	
animeScore	6.63
animeUsers	2992
animeRank	
animePopularity	5826
animeDescription	The second season of Cinderella Girls Gekijou.
animeRelated	['Cinderella Girls Gekijou', 'The iDOLM@STER Cinderella Girls', 'Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season', 'Cinderella Girls Gekijou 2nd Season Specials', 'Cinderella Girls Gekijou 3rd Season']
animeCharacters	['Shibuya, Rin', 'Kanzaki, Ranko', 'Shimamura, Uzuki', 'Sagisawa, Fumika', 'Takamori, Aiko', 'Anastasia', 'Takagaki, Kaede', 'Shirasaka, Koume', 'Jougasaki, Mika', 'Koshimizu, Sachiko']
animeVoices	['Fukuhara, Ayaka', 'Uchida, Maaya', 'Ohashi, Ayaka', 'Ichimichi, Mao', 'Kaneko, Yuuki', 'Uesaka, Sumire', 'Hayami, Saori', 'Ousaki, Chiyo', 'Yoshimura, Haruka', 'Taketatsu, Ayana']
animeStaff	[['Mankyuu', 'Director'], ['Uesaka, Sumire', 'Theme Song Performance'], ['Kuno, Misaki', 'Theme Song Performance'], ['Tanezaki, Atsumi', 'Theme Song Performance']]
