animeTitle	I''s Pure
animeType	OVA
animeNumEpisode	6
releaseDate	2005-12-09 00:00:00
endDate	2006-06-23 00:00:00
animeNumMembers	23870
animeScore	6.89
animeUsers	11640
animeRank	4257
animePopularity	3686
animeDescription	"Seto Ichitaka has a crush on Yoshizuki Iori, a girl in his class who has become so popular she now has her own fan club at school. But only a miracle could make him be with her, since the day he first saw Iori-chan, Ichitaka has been too shy to even talk to her. This miracle happened and now he and Iori are working together on the Freshmen Welcoming Party. It seems that things start to look bright for Seto, but then a special childhood friend is coming for a visit...

(Source: ANN)"
animeRelated	"[""I''s"", ""I''s Pure Bonus""]"
animeCharacters	['Yoshizuki, Iori', 'Seto, Ichitaka', 'Akiba, Itsuki', 'Teratani, Yasumasa', 'Isozaki, Izumi', 'Koshinae, Jun', 'Samejima', 'Morisaki, Yuuka']
animeVoices	['Itou, Shizuka', 'Nomura, Katsuhito', 'Nakase, Asuka', 'Kobushi, Nobuyuki', 'Kadowaki, Mai', 'Naruse, Makoto', 'Gotou, Yuuko']
animeStaff	[['Kanbe, Mamoru', 'Director, Storyboard'], ['Shimizu, Katsunori', 'Sound Director'], ['Iwanaga, Akira', 'Episode Director'], ['Odaka, Yoshinori', 'Episode Director']]
