animeTitle	Rikaisha
animeType	Music
animeNumEpisode	1
releaseDate	2018-08-22 00:00:00
endDate	
animeNumMembers	1362
animeScore	6.16
animeUsers	656
animeRank	7879
animePopularity	10391
animeDescription	Music video included with the third single of the digital idol group 22/7 (Nanabun no Nijuuni).
animeRelated	['Boku wa Sonzai Shiteinakatta', 'Shampoo no Nioi ga Shita', 'Nani mo Shite Agerarenai', '22/7', 'Ano Hi no Kanojo-tachi']
animeCharacters	['Takigawa, Miu', 'Toda, Jun', 'Fujima, Sakura', 'Maruyama, Akane', 'Tachikawa, Ayaka', 'Satou, Reika', 'Saitou, Nicole', 'Kouno, Miyako']
animeVoices	[]
animeStaff	[['22/7', 'Theme Song Performance'], ['Akimoto, Yasushi', 'Theme Song Lyrics'], ['Kantoku', 'Original Character Design'], ['Horiguchi, Yukiko', 'Character Design, Original Character Design']]
