animeTitle	Muteking the Dancing Hero
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.5
animeUsers	748
animeRank	
animePopularity	7733
animeDescription	"Set in a city modeled after San Francisco in the 1980s, the protagonist has transformed into the hero Muteking and is fighting against evil aliens for some reason. Such a cheerful hero will return in 2020! Sci-fi hero love comedy Muteking the Dancing Hero, singing and dancing with pop music.

(Source: Official Website)"
animeRelated	['Tondemo Senshi Muteking']
animeCharacters	['Muteki', 'Ceo', 'DJ', 'Aurora', 'Aida', 'Naomi', 'Tommy', 'Matt', 'Suteking', 'George']
animeVoices	['Mashiro, Kentarou', 'Hino, Satoshi', 'Eguchi, Takuya', 'Takahashi, Rie', 'Tadokoro, Azusa', 'Matsuyama, Takashi', 'Aoyama, Yutaka', 'KENN', 'Hatano, Wataru']
animeStaff	[['Takahashi, Ryousuke', 'Director'], ['Sasagawa, Hiroshi', 'Director'], ['Satou, Yuuzou', 'Director'], ['Itou, Takumi', 'Sound Director']]
