animeTitle	Kitsutsuki Tanteidokoro
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	5653
animeRank	
animePopularity	3743
animeDescription	"A ghost was seen on the 12th floor of the Asakusa Juunikai building. A newspaper article featuring the sighting brought together Takuboku Ishikawa, who runs a private detective agency to support his family, and his assistant Kyosuke Kindaichi to solve the case.

(Source: MAL News)"
animeRelated	['Kitsutsuki Tanteidokoro']
animeCharacters	['Ishikawa, Takuboku', 'Kindaichi, Kyousuke', 'Akutagawa, Ryuunosuke', 'Wakayama, Bokusui', 'Hagiwara, Sakutarou', 'Hirai, Tarou', 'Nomura, Kodou', 'Yoshii, Isamu']
animeVoices	['Asanuma, Shintaro', 'Sakurai, Takahiro', 'Hayashi, Yukiya', 'Furukawa, Makoto', 'Umehara, Yuuichirou', 'Ono, Kensho', 'Tsuda, Kenjirou', 'Saitou, Souma']
animeStaff	[['Ezaki, Shinpei', 'Director'], ['Makino, Tomoe', 'Director'], ['Furukawa, Makoto', 'Theme Song Performance'], ['NOW ON AIR', 'Theme Song Performance']]
