animeTitle	Copihan
animeType	ONA
animeNumEpisode	7
releaseDate	2011-08-12 00:00:00
endDate	2011-11-03 00:00:00
animeNumMembers	7845
animeScore	5.45
animeUsers	3289
animeRank	10530
animePopularity	5846
animeDescription	A school comedy taking place in Tokyo in 2034. Copihan is a joint project of Gonzo and Kei, the illustrator of the manga version of Copihan who is best known for Hatsune Miku.
animeRelated	['Copihan: Saya to Sayu no Daisakusen']
animeCharacters	['Kadokura, Yuna', 'Mihashira, Sayu', 'Urino, Hiromi', 'Kumogiri, Omoto', 'Kitoh, Hotaru', 'Tsugayama, Asagi', 'Mihashira, Saya', 'Tsugayama, Haruhiko', 'Tsugayama, Yuzuki']
animeVoices	['Seto, Saori', 'Hasegawa, Akiko', 'Ise, Mariya', 'Kakihara, Tetsuya', 'Tanaka, Rie', 'Matsuzaki, Rei', 'Shimoda, Asami', 'Sakurai, Takahiro', 'Ookubo, Rumi']
animeStaff	[['Motoyama, Satoshi', 'Sound Director'], ['Ookubo, Rumi', 'Theme Song Performance'], ['Shimoda, Asami', 'Theme Song Performance'], ['Hasegawa, Akiko', 'Theme Song Performance']]
