animeTitle	Azumi Mamma★Mia
animeType	TV
animeNumEpisode	60
releaseDate	1997-07-07 00:00:00
endDate	1997-10-02 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13750
animeDescription	"A prospective witch, a kindergartener who acts like a middle aged, an innocent and incompetent pretty devil, and a genius dog which understands man's words presents a slapstick comedy.

(Source: Toei Animation)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
