animeTitle	Hetalia Axis Powers Fan Disc
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	4823
animeRank	
animePopularity	4818
animeDescription	"The Fan Disc includes the unaired episode ""Ore-sama Nikki Sono 2"""
animeRelated	['Hetalia Axis Powers']
animeCharacters	['United Kingdom', 'Prussia', 'America', 'Hungary', 'Austria', 'Chibitalia', 'Holy Roman Empire', 'France', 'Chibitalia Narrator']
animeVoices	['Sugiyama, Noriaki', 'Kousaka, Atsushi', 'Konishi, Katsuyuki', 'Neya, Michiko', 'Sasanuma, Akira', 'Kanada, Aki', 'Konno, Jun', 'Onosaka, Masaya', 'Kaida, Yuki']
animeStaff	[['Marchi, Jamie', 'Script'], ['Namikawa, Daisuke', 'Theme Song Performance'], ['Himaruya, Hidekaz', 'Original Creator'], ['Conisch', 'Music']]
