animeTitle	Reizouko no Tsukenosuke!
animeType	TV
animeNumEpisode	Unknown
releaseDate	2018-10-01 00:00:00
endDate	
animeNumMembers	153
animeScore	
animeUsers	
animeRank	12932
animePopularity	16877
animeDescription	A gag anime about foods in a refrigerator. The anime airs within the Oha Suta children's morning TV program and will receive a simultaneous manga serialization by Kazumata Oguri.
animeRelated	['Kaeru Ouji to Imomushi Henry']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
