animeTitle	b'Ballroom e Youkoso'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	8.2
animeUsers	114326
animeRank	
animePopularity	
animeDescription	"b""Tatara Fujita is a shy middle schooler who has no particular plan for the future. He has gotten through life by avoiding any kind of confrontation and blending in with the crowd. But blending in isn't enough to get out of trouble, as some bullies harass him for money. Luckily, he is saved by a man named Kaname Sengoku.\n\nKaname invites Tatara to his dance studio. Although he would normally never set foot in such a place, Tatara is captivated by Sengoku's commanding presence. Granted an opportunity to dance with fellow classmate Shizuku Hanaoka\xe2\x80\x94who often practices at the studio\xe2\x80\x94Tatara realizes there's something about the idea of being put in the limelight and dancing where people will see him that keeps him coming back. With an earnest, passionate drive to improve, Tatara begins his journey into the world of competitive dance.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Ballroom e Youkoso']
animeCharacters	[b'Hiyama, Chinatsu', b'Fujita, Tatara', b'Hyoudou, Kiyoharu', b'Hanaoka, Shizuku', b'Akagi, Mako', b'Sengoku, Kaname', b'Kugimiya, Masami', b'Hongou, Chizuru', b'Akagi, Gaju', b'Hyoudou, Marisa']
animeVoices	[b'\nAkasaki, Chinatsu\nJapanese\n', b'\nTsuchiya, Shinba\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nMorohoshi, Sumire\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nKotobuki, Minako\nJapanese\n', b'\nTomita, Kentarou\nJapanese\n', b'\nKaida, Yuuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorishita, Katsuji\n\nProducer\n\n', b'\nMatsushita, Keiko\n\nProducer\n\n', b'\nItazu, Yoshimi\n\nDirector\n\n', b'\nKikuta, Hiromi\n\nSound Director\n\n']
