animeTitle	Yakyuukyou no Uta: Kita no Ookami Minami no Tora
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13735
animeDescription	"A re-edited version of episodes 13 and 14 of the TV series. Double billed with Mirai Shounen Conan movie in the cinemas.

(Source: AniDB)"
animeRelated	['Yakyuukyou no Uta']
animeCharacters	['Mizuhara, Yuuki']
animeVoices	[]
animeStaff	[['Mizushima, Shinji', 'Original Creator'], ['Matsuda, Akihiko', 'Sound Effects'], ['Handou, Katsumi', 'Art Director'], ['Okayasu, Hajime', 'Editing']]
