animeTitle	Solty Rei: Surechigau Kimochi de, Omoi Au Kokoro de.
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.05
animeUsers	1640
animeRank	
animePopularity	7900
animeDescription	"This is a two part story that happened after Rose moved in to Roy's apartment. During the preparations for Appreciation Day, Solty watches people in the city going about and preparing for the celebration and is confronted with a thought: what is true happiness? While trying to understand happiness and the complexity of human emotions, a young girl who has had a falling out with her mother confronts Solty and Rose asking for their help. ""Love Shared"" is actually the second half of ""Opportunities Missed"", while ""Opportunities Missed"" shows the entire story.

(Source: Wikipedia)"
animeRelated	['Solty Rei']
animeCharacters	['Revant, Solty', 'Revant, Roy', 'Anderson, Rose', 'Yayoi, Celica', 'Maverick, Miranda', 'Ban, Silvia', 'Maverick, Kasha', 'Anderson, Larry', 'Martel, Integra', 'Warrick, Accela']
animeVoices	['Saitou, Momoko', 'Nakata, Jouji', 'Asano, Masumi', 'Tamura, Yukari', 'Ohara, Sayaka', 'Itou, Shizuka', 'Kuwatani, Natsuko', 'Tasaka, Hideki', 'Hirohashi, Ryou', 'Noto, Mamiko']
animeStaff	[['Sabat, Christopher', 'ADR Director'], ['Fukunaga, Gen', 'Executive Producer'], ['Oomori, Toshiyuki', 'Music']]
